id,Country,data,fiducia,Prezzi
1,XX,2021-02-01,91.0,0.6
2,XX,2021-03-01,90.6,0.8
3,XX,2021-04-01,91.8,1.1
4,XX,2021-05-01,99.3,1.3
5,XX,2021-06-01,103.3,1.3
6,XX,2021-07-01,104.6,1.8
7,XX,2021-08-01,104.3,2.0
8,XX,2021-09-01,107.3,2.5
9,XX,2021-10-01,106.3,3.0
10,XX,2021-11-01,105.5,3.7
11,XX,2021-12-01,105.6,3.9
12,XX,2022-01-01,102.5,4.8
13,XX,2022-02-01,100.9,5.7
14,XX,2022-03-01,90.4,6.5
15,XX,2022-04-01,89.8,6.0
16,XX,2022-05-01,92.2,6.8
17,XX,2022-06-01,88.2,8.0
18,XX,2022-07-01,85.1,7.9
19,XX,2022-08-01,88.3,8.4
20,XX,2022-09-01,85.1,8.9
21,XX,2022-10-01,80.9,11.9
22,XX,2022-11-01,88.0,11.8
23,XX,2022-12-01,92.0,11.6
24,XX,2023-01-01,90.5,10.1
25,XX,2023-02-01,93.3,9.2
26,XX,2023-03-01,94.4,7.6
27,XX,2023-04-01,94.7,8.3
28,XX,2023-05-01,94.3,7.6
29,XX,2023-06-01,97.5,6.4
30,XX,2023-07-01,95.7,5.9
31,XX,2023-08-01,95.6,5.4
32,XX,2023-09-01,94.6,5.3
33,XX,2023-10-01,91.1,1.7
34,XX,2023-11-01,93.0,0.8
35,XX,2023-12-01,95.8,0.6
36,XX,2024-01-01,96.4,1.0
37,XX,2024-02-01,97.0,1.0
38,XX,2024-03-01,96.5,0.0
39,XX,2024-04-01,95.2,0.0
40,XX,2024-05-01,96.4,0.0
41,XX,2024-06-01,98.3,0.0
42,XX,2024-07-01,98.9,0.0
43,XX,2024-08-01,96.1,0.0
44,XX,2024-09-01,98.3,0.0
45,XX,2024-10-31,97.4,0.0
46,XX,2024-11-30,96.6,0.0
47,XX,2024-12-31,96.3,0.0
48,XX,2025-01-31,98.2,0.0
49,XX,2025-02-28,98.8,0.0
50,XX,2025-03-31,95.0,0.0
51,XX,2025-04-30,92.7,0.0
